,time,open,high,low,close,volume
241,2013-12-19,504.92,508.04,504.92,506.28,111083574
242,2013-12-20,507.47,508.29,504.45,504.45,142429660
243,2013-12-23,506.6,509.41,505.73,508.68,107410317
244,2013-12-24,508.61,509.54,505.62,505.62,90614487
245,2013-12-25,506.37,506.53,503.03,504.42,73405593
246,2013-12-26,504.41,507.57,503.59,506.55,82220668
247,2013-12-27,507.08,510.09,506.41,506.41,73739700
248,2013-12-30,506.62,507.02,500.35,500.35,92187030
249,2013-12-31,500.67,506.44,499.49,504.63,60922914
250,2014-01-02,505.61,506.71,503.04,504.51,57717674
251,2014-01-03,504.41,506.19,503.94,505.37,55600438
252,2014-01-06,505.74,509.1,504.28,509.1,68738380
253,2014-01-07,511.02,513.0,509.87,510.12,74363638
254,2014-01-08,511.03,514.2,509.01,513.9,70296940
255,2014-01-09,513.92,516.98,513.52,516.98,91486106
256,2014-01-10,518.41,523.06,518.24,518.94,107179750
257,2014-01-13,519.31,522.32,518.78,521.11,71994499
258,2014-01-14,520.73,524.59,520.63,522.31,94864592
259,2014-01-15,523.82,527.09,522.45,526.68,127581605
260,2014-01-16,528.83,533.54,527.9,533.54,97752875
261,2014-01-17,537.48,549.88,536.81,543.59,118065054
262,2014-01-20,548.22,559.93,548.22,553.67,105722499
263,2014-01-21,555.72,560.18,547.65,559.91,100920439
264,2014-01-22,561.34,564.61,551.92,551.92,125281534
265,2014-01-23,550.88,556.5,550.52,553.55,73716290
266,2014-01-24,555.66,560.19,553.46,560.19,88005982
267,2014-01-27,560.45,560.45,556.52,556.52,67551730
268,2014-02-06,554.8,557.29,551.45,554.68,89235280
269,2014-02-07,557.71,558.51,549.37,549.76,124966662
270,2014-02-10,550.42,555.9,548.56,555.9,110186930
271,2014-02-11,560.35,561.83,553.9,553.9,175048180
272,2014-02-12,555.91,564.25,554.26,564.25,124702840
273,2014-02-13,567.77,570.68,565.27,570.18,147121230
274,2014-02-14,573.09,576.18,569.38,572.22,141409934
275,2014-02-17,571.27,572.85,567.89,570.2,163684700
276,2014-02-18,570.65,574.56,570.16,574.56,160281020
277,2014-02-19,578.73,578.8,573.86,578.12,159097280
278,2014-02-20,579.71,584.1,565.31,571.04,259679130
279,2014-02-21,571.03,574.61,565.33,570.57,124763395
280,2014-02-24,571.93,576.58,570.07,576.58,118528370
281,2014-02-25,575.49,586.2,575.49,586.2,143514510
282,2014-02-26,590.64,590.79,582.96,589.81,157200690
283,2014-02-27,588.47,596.4,584.79,584.79,225207222
284,2014-02-28,586.12,591.36,581.63,586.48,119408907
285,2014-03-03,586.46,587.11,573.37,573.38,143297444
286,2014-03-04,563.9,572.28,563.9,569.97,125571957
287,2014-03-05,576.11,577.5,569.97,574.94,105933313
288,2014-03-06,576.07,580.04,574.58,578.56,141304493
289,2014-03-07,579.4,582.24,579.1,579.75,157003150
290,2014-03-10,580.84,584.81,579.98,583.69,145025550
291,2014-03-11,585.1,589.45,582.2,588.5,162492886
292,2014-03-12,590.94,596.38,590.02,590.02,177883620
293,2014-03-13,591.11,595.22,590.36,595.22,133778877
294,2014-03-14,596.2,600.68,594.51,596.83,163989570
295,2014-03-17,603.05,603.24,598.7,600.36,170181160
