,ticker,yearReport,lengthReport,Minority Interest,Minority Interest,Minority Interest,Minority Interest,Net Profit/Loss before tax,Provision for credit losses,Provision for credit losses,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Financial Income,Interest Expenses,Interest Expenses,Net Sales,Net Sales,Gross Profit,Gross Profit,Financial Expenses,Financial Expenses,General & Admin Expenses,General & Admin Expenses,Operating Profit/Loss,Operating Profit/Loss,Net income from associated companies,Other Income/Expenses,Cost of Sales,Selling Expenses,Selling Expenses,Sales,Sales deductions,Gain/(loss) from joint ventures,Other income,Net other income/expenses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company
22,AAA,2018,4,0,2023455276,0,2023455276,64219942475,2750517531,2750517531,0.549211537783413,2209962396990,51502432019,-0.21116988009786813,20898115374,20898115374,-40295506565,-40295506565,2208924723596,2208924723596,197466856761,197466856761,-67212717328,-67212717328,-37134475802,-37134475802,61763346099,61763346099,0,-41813291,-2011457866835,-52254432906,-52254432906,2209962396990,-1037673394,0,2498409667,2456596376,64219942475,-10694055180,-11402731020,708675840,53525887295,51502432019
23,AAA,2018,3,0,5003588212,0,5003588212,57414065008,0,0,1.0590411696923319,2188614583530,42906658795,-0.17533254148544425,21541918835,21541918835,-41475666353,-41475666353,2186507667133,2186507667133,157839968620,157839968620,-55395778502,-55395778502,-30300036149,-30300036149,54677412043,54677412043,0,-2857060399,-2028667698513,-39008660761,-39008660761,2188614583530,-2106916397,0,5593713364,2736652965,57414065008,-9503818001,-9435207667,-68610334,47910247007,42906658795
24,AAA,2018,2,0,14089622204,0,14089622204,59661144613,0,0,1.719475807909914,2321958210748,36613161825,-0.06430351367892975,11991921482,11991921482,-45754572288,-45754572288,2318181552195,2318181552195,170103448453,170103448453,-60387322612,-60387322612,-29223348585,-29223348585,58387462490,58387462490,0,-8261170,-2148078103742,-34097236248,-34097236248,2321958210748,-3776658553,0,1281943293,1273682123,59661144613,-8958360584,-8853053207,-105307377,50702784029,36613161825
25,AAA,2018,1,0,10771772869,0,10771772869,72689171088,0,0,0.7699930566915908,1298291954567,49238222361,-0.26394398615901765,7085646051,7085646051,-23245616132,-23245616132,1297958670465,1297958670465,147525799357,147525799357,-25591419044,-25591419044,-26960451660,-26960451660,70857094635,70857094635,0,-3555229,-1150432871108,-31202480069,-31202480069,1298291954567,-333284102,0,1835631682,1832076453,72689171088,-12679175858,-13081036033,401860175,60009995230,49238222361
26,AAA,2017,4,0,10036575731,0,10036575731,91086144061,0,0,1.1364926531258892,1426507835174,65289636792,0.5810596435181501,33262328034,33262328034,-28945734767,-28945734767,1425470568520,1425470568520,196693057080,196693057080,-30389199454,-30389199454,-23585370529,-23585370529,89793307651,89793307651,0,125482246,-1228777511440,-61898852480,-61898852480,1426507835174,-1037266654,-24288655000,1167354164,1292836410,91086144061,-15759931538,-15530305960,-229625578,75326212523,65289636792
27,AAA,2017,3,0,15433157357,0,15433157357,80303837679,0,0,0.9819421111815422,1062929005862,52029043164,0.3453285696470656,4124651624,4124651624,-17065679630,-17065679630,1061671182278,1061671182278,129032542060,129032542060,-20723543611,-20723543611,-19064587076,-19064587076,79970888146,79970888146,0,-83860027,-932638640218,-13398174851,-13398174851,1062929005862,-1257823584,0,416809560,332949533,80303837679,-12841637158,-12859074134,17436976,67462200521,52029043164
28,AAA,2017,2,0,9605688002,0,9605688002,67051702454,0,0,0.6508347455555435,853825654192,39129314217,0.16253255911093398,-63976584292,-63976584292,-17746808506,-17746808506,853731610464,853731610464,122914975208,122914975208,9304630309,9304630309,-18253416498,-18253416498,66795341981,66795341981,0,-409095636,-730816635256,-7482917746,-7482917746,853825654192,-94043728,24288655000,665456109,256360473,67051702454,-18316700235,-18070710325,-245989910,48735002219,39129314217
29,AAA,2017,1,0,4946023120,0,4946023120,89612623081,0,0,0.7287536737328288,733501156775,66894667573,1.3589281519969312,82364864741,82364864741,-16833826448,-16833826448,728734941879,728734941879,101744530820,101744530820,-53244735002,-53244735002,-18419181582,-18419181582,89501102560,89501102560,0,-27458573,-626990411059,-22944376417,-22944376417,733501156775,-4766214896,0,138979094,111520521,89612623081,-17771932388,-17973385002,201452614,71840690693,66894667573
30,AAA,2016,4,0,153688870,0,153688870,48337017738,0,0,0.45157759943489234,667686749630,41294860102,0.949968035139267,9364336931,9364336931,-7265829226,-7265829226,667534919901,667534919901,98785999420,98785999420,-26458847770,-26458847770,-15597767894,-15597767894,52893968976,52893968976,0,-5670790430,-568748920481,-14528130182,-14528130182,667686749630,-151829729,1328378471,1113839192,-4556951238,48337017738,-6888468766,-6890891702,2422936,41448548972,41294860102
31,AAA,2016,3,0,455902070,0,455902070,47530518554,0,0,0.14558736523721988,536306787098,38673855843,0.9479109654613368,4802491049,4802491049,-6637193744,-6637193744,535587161272,535587161272,82792453418,82792453418,-8643546827,-8643546827,-18667976850,-18667976850,43354800229,43354800229,0,-13779258,-452794707854,-19223067035,-19223067035,536306787098,-719625826,2294446474,4189497583,4175718325,47530518554,-8400760641,-8318791223,-81969418,39129757913,38673855843
