"Date","Price","Open","High","Low","Change %"
"07/31/2023","1.923","1.923","1.923","1.923","0.00%"
"07/28/2023","1.923","1.923","1.923","1.923","0.00%"
"07/27/2023","1.923","1.923","1.923","1.923","-0.93%"
"07/26/2023","1.941","1.941","1.941","1.941","-0.46%"
"07/25/2023","1.950","1.950","1.950","1.950","0.00%"
"07/24/2023","1.950","1.950","1.950","1.950","0.00%"
"07/21/2023","1.950","1.950","1.950","1.950","-0.46%"
"07/20/2023","1.959","1.995","1.995","1.959","-1.80%"
"07/19/2023","1.995","2.027","2.027","1.995","-1.58%"
"07/18/2023","2.027","2.027","2.027","2.027","0.00%"
"07/17/2023","2.027","2.032","2.032","2.027","-0.25%"
"07/14/2023","2.032","2.041","2.041","2.032","-0.44%"
"07/13/2023","2.041","2.134","2.134","2.041","-4.36%"
"07/12/2023","2.134","2.260","2.260","2.134","-5.58%"
"07/11/2023","2.260","2.337","2.337","2.260","-3.29%"
"07/10/2023","2.337","2.329","2.337","2.329","0.34%"
"07/07/2023","2.329","2.333","2.333","2.329","-0.13%"
"07/06/2023","2.332","2.324","2.332","2.324","0.39%"
"07/05/2023","2.323","2.332","2.332","2.323","-0.43%"
"07/04/2023","2.333","2.333","2.333","2.333","0.00%"
"07/03/2023","2.333","2.336","2.336","2.333","-0.13%"
"06/30/2023","2.336","2.336","2.336","2.336","0.00%"
"06/29/2023","2.336","2.336","2.336","2.336","0.00%"
"06/28/2023","2.336","2.336","2.336","2.336","0.00%"
"06/27/2023","2.336","2.336","2.336","2.336","0.00%"
"06/26/2023","2.336","2.327","2.336","2.327","0.39%"
"06/23/2023","2.327","2.345","2.345","2.327","-0.77%"
"06/22/2023","2.345","2.368","2.368","2.345","-0.97%"
"06/21/2023","2.368","2.377","2.377","2.368","-0.38%"
"06/20/2023","2.377","2.405","2.405","2.377","-1.16%"
"06/19/2023","2.405","2.418","2.418","2.405","-0.54%"
"06/16/2023","2.418","2.418","2.418","2.418","-2.93%"
"06/15/2023","2.491","2.551","2.551","2.491","-2.31%"
"06/14/2023","2.550","2.568","2.568","2.550","-0.74%"
"06/13/2023","2.569","2.614","2.614","2.569","-1.72%"
"06/12/2023","2.614","2.614","2.614","2.614","-0.15%"
"06/09/2023","2.618","2.659","2.659","2.618","-1.54%"
"06/08/2023","2.659","2.659","2.659","2.659","0.00%"
"06/07/2023","2.659","2.668","2.668","2.659","-0.34%"
"06/06/2023","2.668","2.673","2.673","2.668","-0.19%"
"06/05/2023","2.673","2.673","2.673","2.673","0.00%"
"06/02/2023","2.673","2.696","2.696","2.673","-0.85%"
"06/01/2023","2.696","2.701","2.701","2.696","-0.15%"
"05/31/2023","2.700","2.709","2.709","2.700","-0.33%"
"05/30/2023","2.709","2.715","2.715","2.709","-0.18%"
"05/29/2023","2.714","2.714","2.714","2.714","1.00%"
"05/26/2023","2.687","2.687","2.687","2.687","0.86%"
"05/25/2023","2.664","2.660","2.664","2.660","0.19%"
"05/24/2023","2.659","2.655","2.659","2.655","0.15%"
"05/23/2023","2.655","2.655","2.655","2.655","0.00%"
"05/22/2023","2.655","2.655","2.655","2.655","-0.49%"
"05/19/2023","2.668","2.650","2.668","2.650","0.64%"
"05/18/2023","2.651","2.648","2.651","2.648","0.04%"
"05/17/2023","2.650","2.648","2.650","2.648","0.04%"
"05/16/2023","2.649","2.685","2.685","2.649","-1.34%"
"05/15/2023","2.685","2.673","2.685","2.673","0.45%"
"05/12/2023","2.673","2.677","2.677","2.673","-0.15%"
"05/11/2023","2.677","2.683","2.683","2.677","-0.19%"
"05/10/2023","2.682","2.683","2.683","2.682","-0.04%"
"05/09/2023","2.683","2.714","2.714","2.683","-1.14%"
"05/08/2023","2.714","2.714","2.714","2.714","-1.34%"
"05/05/2023","2.751","2.815","2.815","2.751","-2.27%"
"05/04/2023","2.815","2.790","2.815","2.790","4.82%"
"05/03/2023","2.685","2.685","2.685","2.685","-0.02%"
"05/02/2023","2.686","2.687","2.687","2.686","0.00%"
"05/01/2023","2.687","2.687","2.687","2.687","-3.57%"
"04/28/2023","2.786","2.773","2.786","2.773","0.51%"
"04/27/2023","2.772","2.902","2.902","2.772","-4.51%"
"04/26/2023","2.903","2.901","2.903","2.901","0.07%"
"04/25/2023","2.901","2.943","2.943","2.901","-1.39%"
"04/24/2023","2.942","2.942","2.942","2.942","0.14%"
"04/21/2023","2.938","2.938","2.938","2.938","0.00%"
"04/20/2023","2.938","2.938","2.938","2.938","1.59%"
"04/19/2023","2.892","2.963","2.963","2.892","-2.40%"
"04/18/2023","2.963","2.947","2.963","2.947","0.51%"
"04/17/2023","2.948","2.948","2.948","2.948","0.17%"
"04/14/2023","2.943","2.943","2.943","2.943","0.00%"
"04/13/2023","2.943","2.943","2.943","2.943","0.00%"
"04/12/2023","2.943","2.948","2.948","2.943","-0.17%"
"04/11/2023","2.948","2.926","2.948","2.926","0.79%"
"04/10/2023","2.925","2.925","2.925","2.925","-3.37%"
"04/07/2023","3.027","3.007","3.027","3.007","0.63%"
"04/06/2023","3.008","2.925","3.008","2.925","2.84%"
"04/05/2023","2.925","3.051","3.051","2.925","-4.13%"
"04/04/2023","3.051","3.045","3.051","3.045","0.20%"
"04/03/2023","3.045","3.045","3.045","3.045","-3.88%"
"03/31/2023","3.168","3.368","3.368","3.168","-5.94%"
"03/30/2023","3.368","3.509","3.509","3.368","-4.02%"
"03/29/2023","3.509","3.537","3.537","3.509","-0.79%"
"03/28/2023","3.537","3.564","3.564","3.537","-0.76%"
"03/27/2023","3.564","3.564","3.564","3.564","-1.63%"
"03/24/2023","3.623","3.645","3.645","3.623","-0.60%"
"03/23/2023","3.645","3.793","3.793","3.645","-3.90%"
"03/22/2023","3.793","3.816","3.816","3.793","-0.60%"
"03/21/2023","3.816","3.838","3.838","3.816","-0.57%"
"03/20/2023","3.838","3.843","3.843","3.838","-0.13%"
"03/17/2023","3.843","3.846","3.846","3.843","-0.08%"
"03/16/2023","3.846","3.846","3.846","3.846","-3.78%"
"03/15/2023","3.997","3.997","3.997","3.997","-0.10%"
"03/14/2023","4.001","4.001","4.001","4.001","-0.55%"
"03/13/2023","4.023","4.023","4.023","4.023","-0.69%"
"03/10/2023","4.051","4.051","4.051","4.051","0.00%"
"03/09/2023","4.051","4.051","4.051","4.051","-0.12%"
"03/08/2023","4.056","4.056","4.056","4.056","0.12%"
"03/07/2023","4.051","4.051","4.051","4.051","-0.10%"
"03/06/2023","4.055","4.055","4.055","4.055","0.00%"
"03/03/2023","4.055","4.055","4.055","4.055","-0.02%"
"03/02/2023","4.056","4.056","4.056","4.056","0.02%"
"03/01/2023","4.055","4.056","4.056","4.055","-0.02%"
"02/28/2023","4.056","4.056","4.056","4.056","-0.12%"
"02/27/2023","4.061","4.061","4.061","4.061","0.10%"
"02/24/2023","4.057","4.057","4.057","4.057","0.25%"
"02/23/2023","4.047","4.047","4.047","4.047","0.05%"
"02/22/2023","4.045","4.045","4.045","4.045","0.32%"
"02/21/2023","4.032","4.032","4.032","4.032","0.57%"
"02/20/2023","4.009","4.009","4.009","4.009","0.45%"
"02/17/2023","3.991","3.991","3.991","3.991","0.00%"
"02/16/2023","3.991","3.991","3.991","3.991","0.25%"
"02/15/2023","3.981","3.981","3.981","3.981","0.00%"
"02/14/2023","3.981","3.995","3.995","3.981","-0.35%"
"02/13/2023","3.995","3.974","3.995","3.974","0.53%"
